"uf","MUNICIPIO","ESTIMATIVA2019","tipo","longitude","latitude","cod_uf","IDH","espvida","gini","t_agua","rdpc","AR_MUN_2019","densidade"
"BA","BOM JESUS DA SERRA",9880,"cidade",-40.512556,-14.366312,"29",0.546,69.95,0.52,35.18,223.19,467.813,21.1195499056247
"BA","BONINAL",14368,"cidade",-41.828604,-12.706887,"29",0.612,72.35,0.53,86.62,267.7,896.857,16.0203912106389
"BA","BONITO",16764,"cidade",-41.264698,-11.966768,"29",0.561,66.12,0.5,91.13,249,791.276,21.1860336974709
"BA","BOQUIRA",21508,"cidade",-42.732354,-12.820536,"29",0.603,71.91,0.53,61.36,266.71,1426.233,15.0802849183829
"BA","BOTUPORÃ",10211,"cidade",-42.516301,-13.377235,"29",0.575,70.24,0.52,52.17,235.16,627.612,16.2696060623443
"BA","BREJÕES",14295,"cidade",-39.798797,-13.103948,"29",0.597,71.49,0.5,75.32,261.14,518.566,27.5664042764084
"BA","BREJOLÂNDIA",10557,"cidade",-43.967855,-12.481547,"29",0.592,69.73,0.56,42.12,221.22,2247.208,4.6978294844091
"BA","BROTAS DE MACAÚBAS",10231,"cidade",-42.632609,-11.991452,"29",0.57,70.24,0.56,35.51,247.49,2370.486,4.31599258548669
"BA","BRUMADO",67195,"cidade",-41.669592,-14.202127,"29",0.656,73.41,0.52,78.07,403.22,2207.612,30.4378667990571
"BA","BUERAREMA",18349,"cidade",-39.302849,-14.959497,"29",0.613,71.33,0.53,91.84,343.23,219.487,83.5994842519147
"BA","BURITIRAMA",21174,"cidade",-43.630231,-10.717055,"29",0.565,70.63,0.57,57.59,184.53,4046.736,5.23236504679327
"BA","CAATIBA",6758,"cidade",-40.409156,-14.969854,"29",0.561,70.09,0.39,78.35,293.78,512.436,13.1879883536676
"BA","CABACEIRAS DO PARAGUAÇU",18807,"cidade",-39.190231,-12.531694,"29",0.581,70.8,0.54,65.66,209.45,222.026,84.706295659067
"BA","CACHOEIRA",33470,"cidade",-38.958695,-12.599443,"29",0.647,70.72,0.56,82.66,368.11,394.894,84.7569221107436
"BA","CACULÉ",23170,"cidade",-42.222872,-14.500281,"29",0.637,71.12,0.48,87.93,382.15,610.983,37.9224953885787
"BA","CAÉM",9213,"cidade",-40.432039,-11.067693,"29",0.546,67.08,0.54,61.13,223.48,540.908,17.0324713259926
"BA","CAETANOS",14542,"cidade",-40.917506,-14.334745,"29",0.542,68.47,0.5,6.88,224.38,767.146,18.9559744820412
"BA","CAETITÉ",50975,"cidade",-42.486133,-14.068422,"29",0.625,73.04,0.59,69.54,405.31,2651.536,19.2247059817404
"BA","CAFARNAUM",18437,"cidade",-41.468823,-11.691399,"29",0.584,69.03,0.55,80.76,251.31,643.66,28.6440045987012
"BA","CAIRU",18176,"cidade",-39.046525,-13.490377,"29",0.627,73.41,0.53,92.89,334.19,448.846,40.4949581816481
"BA","CALDEIRÃO GRANDE",13327,"cidade",-40.295577,-11.020798,"29",0.573,70.46,0.55,76.85,211.26,458.311,29.0785078254722
"BA","CAMACAN",31988,"cidade",-39.491937,-15.414157,"29",0.581,71.07,0.6,85.28,351.84,584.848,54.6945531146554
"BA","CAMAÇARI",299132,"cidade",-38.326265,-12.699638,"29",0.694,72.9,0.53,96.45,553.18,785.421,380.855617560518
"BA","CAMAMU",35316,"cidade",-39.107082,-13.939773,"29",0.565,67.61,0.54,84.08,264.63,839.702,42.0577776401628
"BA","CAMPO ALEGRE DE LOURDES",28798,"cidade",-43.01258,-9.522212,"29",0.557,71.68,0.61,5.9,199.01,2914.587,9.88064518231914
"BA","CAMPO FORMOSO",71206,"cidade",-40.320031,-10.51055,"29",0.586,69.94,0.57,67.07,270.05,7161.827,9.94243507976386
"BA","CANÁPOLIS",9711,"cidade",-44.200949,-13.072454,"29",0.565,68.93,0.49,84.46,217.86,460.388,21.0930780124591
"BA","CANARANA",26176,"cidade",-41.767705,-11.685831,"29",0.587,69.04,0.48,79.56,252.39,579.726,45.152365082815
"BA","CANAVIEIRAS",31099,"cidade",-38.953648,-15.672205,"29",0.59,72.74,0.51,87.8,325.61,1334.284,23.3076316586274
"BA","CANDEAL",8258,"cidade",-39.120277,-11.804851,"29",0.587,72.19,0.44,59.5,251.54,447.578,18.4504153465988
"BA","CANDEIAS",87076,"cidade",-38.547152,-12.671566,"29",0.691,74.39,0.48,95.99,462.57,251.808,345.803151607574
"BA","CANDIBA",14319,"cidade",-42.866694,-14.409738,"29",0.591,69.56,0.44,75.29,290.99,433.642,33.0203255219743
"BA","CÂNDIDO SALES",25189,"cidade",-41.241438,-15.499309,"29",0.601,72.9,0.5,68.2,268.57,1169.814,21.5324829417326
"BA","CANSANÇÃO",34834,"cidade",-39.494388,-10.664713,"29",0.557,69.69,0.57,60.6,216.24,1351.891,25.7668702580312
"BA","CANUDOS",16668,"cidade",-39.147059,-9.900135,"29",0.562,67.42,0.53,65.92,251.59,3565.377,4.67496144166522
"BA","CAPELA DO ALTO ALEGRE",11637,"cidade",-39.834912,-11.665797,"29",0.599,71.21,0.49,72.12,299.05,629.586,18.4835749206622
"BA","CAPIM GROSSO",30662,"cidade",-40.008951,-11.379659,"29",0.621,70.09,0.54,89.25,378.85,464.776,65.9715647968053
"BA","CARAÍBAS",8951,"cidade",-41.260336,-14.717677,"29",0.555,69.35,0.49,34.37,277.97,805.629,11.1105732291166
"BA","CARAVELAS",22016,"cidade",-39.259679,-17.726839,"29",0.616,72.46,0.56,84.4,394.43,2377.889,9.25863234154328
"BA","CARDEAL DA SILVA",9295,"cidade",-37.946905,-11.947191,"29",0.552,69.09,0.52,77.18,207.42,293.456,31.6742544027043
"BA","CARINHANHA",29018,"cidade",-43.772349,-14.298524,"29",0.576,70.77,0.51,70.13,209.51,2525.906,11.4881551411652
"BA","CASA NOVA",71969,"cidade",-40.973977,-9.164083,"29",0.57,69.16,0.54,61.77,289.24,9647.072,7.46019102998298
"BA","CASTRO ALVES",26264,"cidade",-39.424753,-12.75795,"29",0.613,71.46,0.54,72.4,316.1,713.789,36.7951873732994
"BA","CATOLÂNDIA",3577,"cidade",-44.864808,-12.310013,"29",0.582,72.13,0.51,67.59,251.21,702.504,5.09178595424368
"BA","CATU",54704,"cidade",-38.379108,-12.351274,"29",0.677,73.86,0.55,93.48,486.05,426.955,128.125914909065
"BA","CATURAMA",9329,"cidade",-42.290385,-13.323938,"29",0.571,71.22,0.49,60.21,234.88,716.261,13.024581821431
"BA","CENTRAL",17266,"cidade",-42.111625,-11.137576,"29",0.596,68.65,0.54,86.03,231.1,566.974,30.4528955472385
"BA","CHORROCHÓ",11177,"cidade",-39.097942,-8.969498,"29",0.6,71.74,0.58,54.11,248.5,3005.319,3.71907275067971
"BA","CÍCERO DANTAS",32515,"cidade",-38.379377,-10.589664,"29",0.585,67.73,0.53,81.44,315.19,819.969,39.6539381366857
"BA","CIPÓ",17300,"cidade",-38.517942,-11.103172,"29",0.601,69.62,0.55,83.3,312.03,168.33,102.774312362621
"BA","COARACI",16993,"cidade",-39.555609,-14.636996,"29",0.613,70.69,0.54,90.97,366.33,274.5,61.9052823315118
"BA","COCOS",18777,"cidade",-44.53522,-14.18136,"29",0.596,73.28,0.56,61.48,258.27,10140.572,1.85167069471032
"BA","CONCEIÇÃO DA FEIRA",22581,"cidade",-38.997823,-12.507835,"29",0.634,70.93,0.56,88.34,348.39,164.798,137.022293959878
"BA","CONCEIÇÃO DO ALMEIDA",17247,"cidade",-39.171466,-12.783579,"29",0.606,73.31,0.56,63.31,290.98,284.836,60.55063264475
"BA","CONCEIÇÃO DO COITÉ",66612,"cidade",-39.280827,-11.559953,"29",0.611,70.14,0.48,76.08,309.61,1015.252,65.6112965056951
"BA","CONCEIÇÃO DO JACUÍPE",33153,"cidade",-38.768433,-12.326831,"29",0.663,72.93,0.48,87.92,403.18,114.869,288.61572748087
"BA","CONDE",25837,"cidade",-37.613094,-11.817937,"29",0.56,67.31,0.63,75.73,246.81,931.106,27.7487203390377
