"uf","MUNICIPIO","ESTIMATIVA2019","tipo","longitude","latitude","cod_uf","IDH","espvida","gini","t_agua","rdpc","AR_MUN_2019","densidade"
"AL","Piaçabuçu",17827,"cidade",-36.433968,-10.405989,NA,NA,NA,NA,NA,NA,NA,NA
"AL","Pilar",35111,"cidade",-35.954294,-9.601348,NA,NA,NA,NA,NA,NA,NA,NA
"AL","Pindoba",2908,"cidade",-36.291829,-9.473822,NA,NA,NA,NA,NA,NA,NA,NA
"AL","Piranhas",25039,"cidade",-37.756987,-9.623996,NA,NA,NA,NA,NA,NA,NA,NA
"AL","Poço das Trincheiras",14386,"cidade",-37.288932,-9.307417,NA,NA,NA,NA,NA,NA,NA,NA
"AL","Porto Calvo",27165,"cidade",-35.398653,-9.051948,NA,NA,NA,NA,NA,NA,NA,NA
"AL","Porto de Pedras",7786,"cidade",-35.304914,-9.160065,NA,NA,NA,NA,NA,NA,NA,NA
"AL","Porto Real do Colégio",20066,"cidade",-36.837551,-10.18489,NA,NA,NA,NA,NA,NA,NA,NA
"AL","Quebrangulo",11294,"cidade",-36.469239,-9.32001,NA,NA,NA,NA,NA,NA,NA,NA
"AL","Rio Largo",75120,"cidade",-35.839435,-9.477829,NA,NA,NA,NA,NA,NA,NA,NA
"AL","Roteiro",6664,"cidade",-35.978247,-9.835029,NA,NA,NA,NA,NA,NA,NA,NA
"AL","Santa Luzia do Norte",7296,"cidade",-35.823196,-9.6037,NA,NA,NA,NA,NA,NA,NA,NA
"AL","Santana do Ipanema",47654,"cidade",-37.248018,-9.369989,NA,NA,NA,NA,NA,NA,NA,NA
"AL","Santana do Mundaú",10740,"cidade",-36.217608,-9.171413,NA,NA,NA,NA,NA,NA,NA,NA
"AL","São Brás",6961,"cidade",-36.896529,-10.120734,NA,NA,NA,NA,NA,NA,NA,NA
"AL","São José da Laje",23927,"cidade",-36.051489,-9.012779,NA,NA,NA,NA,NA,NA,NA,NA
"AL","São José da Tapera",32260,"cidade",-37.383125,-9.557684,NA,NA,NA,NA,NA,NA,NA,NA
"AL","São Luís do Quitunde",34555,"cidade",-35.560553,-9.31816,NA,NA,NA,NA,NA,NA,NA,NA
"AL","São Miguel dos Campos",61251,"cidade",-36.097142,-9.78301,NA,NA,NA,NA,NA,NA,NA,NA
"AL","São Miguel dos Milagres",7951,"cidade",-35.376253,-9.264925,NA,NA,NA,NA,NA,NA,NA,NA
"AL","São Sebastião",34152,"cidade",-36.558967,-9.930434,NA,NA,NA,NA,NA,NA,NA,NA
"AL","Satuba",13828,"cidade",-35.822697,-9.569113,NA,NA,NA,NA,NA,NA,NA,NA
"AL","Senador Rui Palmeira",13870,"cidade",-37.457606,-9.469865,NA,NA,NA,NA,NA,NA,NA,NA
"AL","Tanque d'Arca",6162,"cidade",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"AL","Taquarana",19980,"cidade",-36.492844,-9.64529,NA,NA,NA,NA,NA,NA,NA,NA
"AL","Teotônio Vilela",44169,"cidade",-36.349212,-9.916562,NA,NA,NA,NA,NA,NA,NA,NA
"AL","Traipu",27715,"cidade",-37.007119,-9.962625,NA,NA,NA,NA,NA,NA,NA,NA
"AL","União dos Palmares",65611,"cidade",-36.02227,-9.15921,NA,NA,NA,NA,NA,NA,NA,NA
"AL","Viçosa",25733,"cidade",-36.243107,-9.367631,NA,NA,NA,NA,NA,NA,NA,NA
"AM","Alvarães",16041,"cidade",-64.800654,-3.22727,NA,NA,NA,NA,NA,NA,NA,NA
"AM","Amaturá",11536,"cidade",-68.200456,-3.374547,NA,NA,NA,NA,NA,NA,NA,NA
"AM","Anamã",13614,"cidade",-61.396337,-3.566966,NA,NA,NA,NA,NA,NA,NA,NA
"AM","Anori",21010,"cidade",-61.657485,-3.746027,NA,NA,NA,NA,NA,NA,NA,NA
"AM","Apuí",21973,"cidade",-59.895956,-7.194091,NA,NA,NA,NA,NA,NA,NA,NA
