UF,Nome_UF,Mesorregião Geográfica,Nome_Mesorregião,Microrregião Geográfica,Nome_Microrregião,Município,Código Município Completo,Nome_Município
25,Paraíba,02,Borborema,011,Cariri Oriental,00536,2500536,Alcantil
50,Mato Grosso do Sul,02,Centro Norte de Mato Grosso do Sul,003,Alto Taquari,00252,5000252,Alcinópolis
29,Bahia,07,Sul Baiano,032,Porto Seguro,00801,2900801,Alcobaça
21,Maranhão,04,Leste Maranhense,016,Coelho Neto,00303,2100303,Aldeias Altas
43,Rio Grande do Sul,01,Noroeste Rio-grandense,001,Santa Rosa,00307,4300307,Alecrim
32,Espírito Santo,04,Sul Espírito-santense,011,Alegre,00201,3200201,Alegre
43,Rio Grande do Sul,06,Sudoeste Rio-grandense,029,Campanha Ocidental,00406,4300406,Alegrete
22,Piauí,04,Sudeste Piauiense,014,Pio IX,00277,2200277,Alegrete do Piauí
43,Rio Grande do Sul,01,Noroeste Rio-grandense,008,Ijuí,00455,4300455,Alegria
31,Minas Gerais,12,Zona da Mata,066,Cataguases,01508,3101508,Além Paraíba
15,Pará,01,Baixo Amazonas,002,Santarém,00404,1500404,Alenquer
24,Rio Grande do Norte,01,Oeste Potiguar,006,Pau dos Ferros,00505,2400505,Alexandria
52,Goiás,04,Leste Goiano,012,Entorno de Brasília,00308,5200308,Alexânia
31,Minas Gerais,10,Sul/Sudoeste de Minas,049,Alfenas,01607,3101607,Alfenas
32,Espírito Santo,03,Central Espírito-santense,010,Guarapari,00300,3200300,Alfredo Chaves
35,São Paulo,08,Presidente Prudente,036,Presidente Prudente,00808,3500808,Alfredo Marcondes
31,Minas Gerais,11,Campo das Vertentes,059,Barbacena,01631,3101631,Alfredo Vasconcelos
42,Santa Catarina,05,Grande Florianópolis,017,Tabuleiro,00705,4200705,Alfredo Wagner
25,Paraíba,03,Agreste Paraibano,012,Curimataú Ocidental,00577,2500577,Algodão de Jandaíra
25,Paraíba,04,Mata Paraibana,023,Litoral Sul,00601,2500601,Alhandra
26,Pernambuco,04,Mata Pernambucana,013,Mata Setentrional Pernambucana,00708,2600708,Aliança
17,Tocantins,01,Ocidental do Tocantins,005,Gurupi,00350,1700350,Aliança do Tocantins
29,Bahia,07,Sul Baiano,031,Ilhéus-Itabuna,00900,2900900,Almadina
17,Tocantins,02,Oriental do Tocantins,008,Dianópolis,00400,1700400,Almas
15,Pará,01,Baixo Amazonas,003,Almeirim,00503,1500503,Almeirim
31,Minas Gerais,03,Jequitinhonha,014,Almenara,01706,3101706,Almenara
24,Rio Grande do Norte,01,Oeste Potiguar,007,Umarizal,00604,2400604,Almino Afonso
41,Paraná,10,Metropolitana de Curitiba,037,Curitiba,00400,4100400,Almirante Tamandaré
43,Rio Grande do Sul,01,Noroeste Rio-grandense,009,Carazinho,00471,4300471,Almirante Tamandaré do Sul
52,Goiás,05,Sul Goiano,015,Meia Ponte,00506,5200506,Aloândia
31,Minas Gerais,08,Vale do Rio Doce,037,Governador Valadares,01805,3101805,Alpercata
43,Rio Grande do Sul,01,Noroeste Rio-grandense,003,Frederico Westphalen,00505,4300505,Alpestre
31,Minas Gerais,10,Sul/Sudoeste de Minas,047,Passos,01904,3101904,Alpinópolis
51,Mato Grosso,01,Norte Mato-grossense,002,Alta Floresta,00250,5100250,Alta Floresta
11,Rondônia,02,Leste Rondoniense,006,Cacoal,00015,1100015,Alta Floresta D'Oeste
35,São Paulo,01,São José do Rio Preto,004,São José do Rio Preto,00907,3500907,Altair
15,Pará,05,Sudoeste Paraense,015,Altamira,00602,1500602,Altamira
21,Maranhão,02,Oeste Maranhense,008,Pindaré,00402,2100402,Altamira do Maranhão
41,Paraná,02,Centro Ocidental Paranaense,004,Goioerê,00459,4100459,Altamira do Paraná
23,Ceará,07,Sul Cearense,030,Caririaçu,00606,2300606,Altaneira
31,Minas Gerais,10,Sul/Sudoeste de Minas,049,Alfenas,02001,3102001,Alterosa
26,Pernambuco,03,Agreste Pernambucano,012,Brejo Pernambucano,00807,2600807,Altinho
35,São Paulo,02,Ribeirão Preto,015,Batatais,01004,3501004,Altinópolis
14,Roraima,01,Norte de Roraima,001,Boa Vista,00050,1400050,Alto Alegre
35,São Paulo,03,Araçatuba,018,Birigui,01103,3501103,Alto Alegre
43,Rio Grande do Sul,01,Noroeste Rio-grandense,011,Cruz Alta,00554,4300554,Alto Alegre
21,Maranhão,04,Leste Maranhense,015,Codó,00436,2100436,Alto Alegre do Maranhão
21,Maranhão,02,Oeste Maranhense,008,Pindaré,00477,2100477,Alto Alegre do Pindaré
11,Rondônia,02,Leste Rondoniense,006,Cacoal,00379,1100379,Alto Alegre dos Parecis
51,Mato Grosso,05,Sudeste Mato-grossense,022,Alto Araguaia,00300,5100300,Alto Araguaia
42,Santa Catarina,01,Oeste Catarinense,005,Concórdia,00754,4200754,Alto Bela Vista
51,Mato Grosso,02,Nordeste Mato-grossense,009,Norte Araguaia,00359,5100359,Alto Boa Vista
31,Minas Gerais,12,Zona da Mata,061,Manhuaçu,02050,3102050,Alto Caparaó
24,Rio Grande do Norte,01,Oeste Potiguar,004,Vale do Açu,00703,2400703,Alto do Rodrigues
43,Rio Grande do Sul,05,Metropolitana de Porto Alegre,023,Montenegro,00570,4300570,Alto Feliz
51,Mato Grosso,05,Sudeste Mato-grossense,022,Alto Araguaia,00409,5100409,Alto Garças
52,Goiás,02,Norte Goiano,004,Porangatu,00555,5200555,Alto Horizonte
31,Minas Gerais,12,Zona da Mata,061,Manhuaçu,53509,3153509,Alto Jequitibá
22,Piauí,02,Centro-Norte Piauiense,004,Campo Maior,00301,2200301,Alto Longá
51,Mato Grosso,04,Centro-Sul Mato-grossense,015,Alto Paraguai,00508,5100508,Alto Paraguai
11,Rondônia,02,Leste Rondoniense,003,Ariquemes,00403,1100403,Alto Paraíso
41,Paraná,01,Noroeste Paranaense,002,Umuarama,28625,4128625,Alto Paraíso
52,Goiás,02,Norte Goiano,005,Chapada dos Veadeiros,00605,5200605,Alto Paraíso de Goiás
41,Paraná,01,Noroeste Paranaense,001,Paranavaí,00608,4100608,Alto Paraná
21,Maranhão,05,Sul Maranhense,020,Gerais de Balsas,00501,2100501,Alto Parnaíba
41,Paraná,01,Noroeste Paranaense,002,Umuarama,00707,4100707,Alto Piquiri
31,Minas Gerais,12,Zona da Mata,062,Viçosa,02100,3102100,Alto Rio Doce
32,Espírito Santo,01,Noroeste Espírito-santense,003,Colatina,00359,3200359,Alto Rio Novo
23,Ceará,05,Jaguaribe,023,Baixo Jaguaribe,00705,2300705,Alto Santo
51,Mato Grosso,05,Sudeste Mato-grossense,022,Alto Araguaia,00607,5100607,Alto Taquari
41,Paraná,01,Noroeste Paranaense,002,Umuarama,00509,4100509,Altônia
22,Piauí,02,Centro-Norte Piauiense,003,Teresina,00400,2200400,Altos
35,São Paulo,12,Macro Metropolitana Paulista,046,Sorocaba,01152,3501152,Alumínio
13,Amazonas,03,Centro Amazonense,005,Tefé,00029,1300029,Alvarães
31,Minas Gerais,08,Vale do Rio Doce,041,Aimorés,02209,3102209,Alvarenga
35,São Paulo,01,São José do Rio Preto,003,Votuporanga,01202,3501202,Álvares Florence
35,São Paulo,08,Presidente Prudente,036,Presidente Prudente,01301,3501301,Álvares Machado
35,São Paulo,09,Marília,038,Marília,01400,3501400,Álvaro de Carvalho
35,São Paulo,09,Marília,038,Marília,01509,3501509,Alvinlândia
31,Minas Gerais,07,Metropolitana de Belo Horizonte,031,Itabira,02308,3102308,Alvinópolis
17,Tocantins,01,Ocidental do Tocantins,005,Gurupi,00707,1700707,Alvorada
43,Rio Grande do Sul,05,Metropolitana de Porto Alegre,026,Porto Alegre,00604,4300604,Alvorada
11,Rondônia,02,Leste Rondoniense,005,Alvorada D'Oeste,00346,1100346,Alvorada D'Oeste
31,Minas Gerais,07,Metropolitana de Belo Horizonte,028,Conceição do Mato Dentro,02407,3102407,Alvorada de Minas
22,Piauí,03,Sudoeste Piauiense,010,Alto Médio Gurguéia,00459,2200459,Alvorada do Gurguéia
52,Goiás,04,Leste Goiano,011,Vão do Paranã,00803,5200803,Alvorada do Norte
41,Paraná,03,Norte Central Paranaense,007,Porecatu,00806,4100806,Alvorada do Sul
14,Roraima,01,Norte de Roraima,001,Boa Vista,00027,1400027,Amajari
50,Mato Grosso do Sul,04,Sudoeste de Mato Grosso do Sul,010,Dourados,00609,5000609,Amambai
16,Amapá,01,Norte do Amapá,002,Amapá,00105,1600105,Amapá
21,Maranhão,02,Oeste Maranhense,007,Gurupi,00550,2100550,Amapá do Maranhão
41,Paraná,01,Noroeste Paranaense,001,Paranavaí,00905,4100905,Amaporã
26,Pernambuco,04,Mata Pernambucana,015,Mata Meridional Pernambucana,00906,2600906,Amaraji
43,Rio Grande do Sul,07,Sudeste Rio-grandense,032,Serras de Sudeste,00638,4300638,Amaral Ferrador
52,Goiás,02,Norte Goiano,004,Porangatu,00829,5200829,Amaralina
22,Piauí,02,Centro-Norte Piauiense,005,Médio Parnaíba Piauiense,00509,2200509,Amarante
21,Maranhão,02,Oeste Maranhense,009,Imperatriz,00600,2100600,Amarante do Maranhão
29,Bahia,06,Centro Sul Baiano,024,Jequié,01007,2901007,Amargosa
13,Amazonas,02,Sudoeste Amazonense,003,Alto Solimões,00060,1300060,Amaturá
29,Bahia,05,Metropolitana de Salvador,019,Catu,01106,2901106,Amélia Rodrigues
29,Bahia,03,Centro Norte Baiano,009,Irecê,01155,2901155,América Dourada
35,São Paulo,07,Campinas,032,Campinas,01608,3501608,Americana
52,Goiás,03,Centro Goiano,009,Anicuns,00852,5200852,Americano do Brasil
35,São Paulo,05,Araraquara,024,Araraquara,01707,3501707,Américo Brasiliense
35,São Paulo,01,São José do Rio Preto,003,Votuporanga,01806,3501806,Américo de Campos
43,Rio Grande do Sul,01,Noroeste Rio-grandense,003,Frederico Westphalen,00646,4300646,Ametista do Sul
23,Ceará,02,Norte Cearense,008,Itapipoca,00754,2300754,Amontada
52,Goiás,03,Centro Goiano,008,Iporá,00902,5200902,Amorinópolis
25,Paraíba,02,Borborema,010,Cariri Ocidental,00734,2500734,Amparo
35,São Paulo,07,Campinas,033,Amparo,01905,3501905,Amparo
28,Sergipe,03,Leste Sergipano,007,Propriá,00100,2800100,Amparo de São Francisco
31,Minas Gerais,12,Zona da Mata,062,Viçosa,02506,3102506,Amparo do Serra
41,Paraná,07,Sudoeste Paranaense,025,Capanema,01002,4101002,Ampére
27,Alagoas,03,Leste Alagoano,012,São Miguel dos Campos,00201,2700201,Anadia
29,Bahia,06,Centro Sul Baiano,028,Vitória da Conquista,01205,2901205,Anagé
41,Paraná,06,Oeste Paranaense,023,Cascavel,01051,4101051,Anahy
15,Pará,02,Marajó,005,Furos de Breves,00701,1500701,Anajás
21,Maranhão,01,Norte Maranhense,005,Baixada Maranhense,00709,2100709,Anajatuba
35,São Paulo,05,Araraquara,025,São Carlos,02002,3502002,Analândia
13,Amazonas,03,Centro Amazonense,006,Coari,00086,1300086,Anamã
17,Tocantins,01,Ocidental do Tocantins,001,Bico do Papagaio,01002,1701002,Ananás
15,Pará,03,Metropolitana de Belém,007,Belém,00800,1500800,Ananindeua
52,Goiás,03,Centro Goiano,007,Anápolis,01108,5201108,Anápolis
15,Pará,05,Sudoeste Paraense,015,Altamira,00859,1500859,Anapu
21,Maranhão,04,Leste Maranhense,014,Chapadinha,00808,2100808,Anapurus
50,Mato Grosso do Sul,01,Pantanais Sul Mato-grossense,002,Aquidauana,00708,5000708,Anastácio
50,Mato Grosso do Sul,03,Leste de Mato Grosso do Sul,008,Nova Andradina,00807,5000807,Anaurilândia
32,Espírito Santo,03,Central Espírito-santense,010,Guarapari,00409,3200409,Anchieta
42,Santa Catarina,01,Oeste Catarinense,001,São Miguel do Oeste,00804,4200804,Anchieta
29,Bahia,06,Centro Sul Baiano,023,Seabra,01304,2901304,Andaraí
41,Paraná,04,Norte Pioneiro Paranaense,015,Cornélio Procópio,01101,4101101,Andirá
29,Bahia,03,Centro Norte Baiano,008,Senhor do Bonfim,01353,2901353,Andorinha
31,Minas Gerais,10,Sul/Sudoeste de Minas,051,Poços de Caldas,02605,3102605,Andradas
35,São Paulo,03,Araçatuba,016,Andradina,02101,3502101,Andradina
43,Rio Grande do Sul,02,Nordeste Rio-grandense,014,Guaporé,00661,4300661,André da Rocha
